gross,genres,month,year,imdb_score
93926386,Adventure,11,2003,7.4
93926386,Drama,11,2003,7.4
93926386,History,11,2003,7.4
93926386,War,11,2003,7.4
292298923,Adventure,11,2012,5.5
292298923,Adventure,11,2012,5.5
292298923,Drama,11,2012,5.5
292298923,Drama,11,2012,5.5
292298923,Fantasy,11,2012,5.5
292298923,Fantasy,11,2012,5.5
292298923,Romance,11,2012,5.5
292298923,Romance,11,2012,5.5
63992328,Animation,11,2011,5.9
63992328,Comedy,11,2011,5.9
63992328,Family,11,2011,5.9
63992328,Musical,11,2011,5.9
134518390,Action,6,2008,6.8
134518390,Adventure,6,2008,6.8
134518390,Sci-Fi,6,2008,6.8
52792307,Adventure,5,2016,6.8
52792307,Family,5,2016,6.8
52792307,Fantasy,5,2016,6.8
183635922,Adventure,12,2015,8.1
183635922,Drama,12,2015,8.1
183635922,Thriller,12,2015,8.1
183635922,Western,12,2015,8.1
83024900,Adventure,7,2013,6.5
83024900,Animation,7,2013,6.5
83024900,Comedy,7,2013,6.5
83024900,Family,7,2013,6.5
83024900,Sport,7,2013,6.5
123207194,Adventure,2,2011,7.2
123207194,Animation,2,2011,7.2
123207194,Comedy,2,2011,7.2
123207194,Family,2,2011,7.2
123207194,Western,2,2011,7.2
83348920,Adventure,11,2014,6.7
83348920,Animation,11,2014,6.7
83348920,Comedy,11,2014,6.7
83348920,Family,11,2014,6.7
227137090,Action,7,2007,8.1
227137090,Mystery,7,2007,8.1
227137090,Thriller,7,2007,8.1
215395021,Action,5,2008,7.6
215395021,Adventure,5,2008,7.6
215395021,Animation,5,2008,7.6
215395021,Comedy,5,2008,7.6
215395021,Family,5,2008,7.6
180191634,Action,6,2015,7.4
180191634,Adventure,6,2015,7.4
180191634,Comedy,6,2015,7.4
180191634,Sci-Fi,6,2015,7.4
424645577,Adventure,11,2013,7.6
424645577,Sci-Fi,11,2013,7.6
424645577,Thriller,11,2013,7.6
292298923,Adventure,11,2012,5.5
292298923,Adventure,11,2012,5.5
292298923,Drama,11,2012,5.5
292298923,Drama,11,2012,5.5
292298923,Fantasy,11,2012,5.5
292298923,Fantasy,11,2012,5.5
292298923,Romance,11,2012,5.5
292298923,Romance,11,2012,5.5
177343675,Adventure,3,2015,6.7
177343675,Adventure,3,2015,6.7
177343675,Adventure,3,2015,6.7
177343675,Animation,3,2015,6.7
177343675,Animation,3,2015,6.7
177343675,Animation,3,2015,6.7
177343675,Comedy,3,2015,6.7
177343675,Comedy,3,2015,6.7
177343675,Comedy,3,2015,6.7
177343675,Family,3,2015,6.7
177343675,Family,3,2015,6.7
177343675,Family,3,2015,6.7
177343675,Fantasy,3,2015,6.7
177343675,Fantasy,3,2015,6.7
177343675,Fantasy,3,2015,6.7
177343675,Sci-Fi,3,2015,6.7
177343675,Sci-Fi,3,2015,6.7
177343675,Sci-Fi,3,2015,6.7
234277056,Adventure,6,2005,6.5
234277056,Sci-Fi,6,2005,6.5
234277056,Thriller,6,2005,6.5
138396624,Action,7,2003,6.6
138396624,Comedy,7,2003,6.6
138396624,Crime,7,2003,6.6
138396624,Thriller,7,2003,6.6
149234747,Action,10,2011,6.7
149234747,Adventure,10,2011,6.7
149234747,Animation,10,2011,6.7
149234747,Comedy,10,2011,6.7
149234747,Family,10,2011,6.7
149234747,Fantasy,10,2011,6.7
118311368,Action,7,2010,6.4
118311368,Crime,7,2010,6.4
118311368,Mystery,7,2010,6.4
118311368,Thriller,7,2010,6.4
101160529,Action,3,2014,5.8
101160529,Adventure,3,2014,5.8
101160529,Drama,3,2014,5.8
77564037,Action,10,2011,7.4
77564037,Adventure,10,2011,7.4
77564037,Family,10,2011,7.4
